ia,ib,material,area,r0,restitution
 0, 1, silk,  1.0e-6, 1.0, 0.8 
 0, 9, silk,  1.0e-6, 1.0, 0.8 
 1, 2, wood,  2.0e-4, -1, 0.8 
 2, 3, wood,  2.0e-4, -1, 0.8 
 3, 4, wood,  2.0e-4, -1, 0.8 
 4, 5, wood,  2.0e-4, -1, 0.8 
 5, 6, wood,  2.0e-4, -1, 0.8 
 6, 7, wood,  2.0e-4, -1, 0.8 
 7, 8, wood,  2.0e-4, -1, 0.8 
 8, 9, wood,  2.0e-4, -1, 0.8 
 2, 4, horn,  2.0e-4, -1, 0.8 
 4, 6, horn,  2.0e-4, -1, 0.8 
 6, 8, horn,  2.0e-4, -1, 0.8 
 1, 3, sinew, 1.0e-4, -1, 0.8 
 3, 5, sinew, 1.0e-4, -1, 0.8 
 5, 7, sinew, 1.0e-4, -1, 0.8
 7, 9, sinew, 1.0e-4, -1, 0.8
