ia,ib,material,area,r0,restitution
 0, 1, silk,  1.0e-6, 0.97, 0.8 
 0, 9, silk,  1.0e-6, 0.97, 0.8
 2, 10, wood,  3.0e-4, -1, 0.8 
 3, 11, wood,  3.0e-4, -1, 0.8 
 4, 12, wood,  3.0e-4, -1, 0.8 
 5, 13, wood,  3.0e-4, -1, 0.8 
 6, 14, wood,  3.0e-4, -1, 0.8 
 7, 15, wood,  3.0e-4, -1, 0.8 
 8, 16, wood,  3.0e-4, -1, 0.8 
 10, 3, wood,  3.0e-4, -1, 0.8 
 11, 4, wood,  3.0e-4, -1, 0.8 
 12, 5, wood,  3.0e-4, -1, 0.8 
 16, 7, wood,  3.0e-4, -1, 0.8 
 15, 6, wood,  3.0e-4, -1, 0.8 
 14, 5, wood,  3.0e-4, -1, 0.8 
 1, 2, horn,  2.0e-4, -1, 0.8  
 2, 3, horn,  2.0e-4, -1, 0.8 
 3, 4, horn,  2.0e-4, -1, 0.8 
 4, 5, horn,  2.0e-4, -1, 0.8 
 5, 6, horn,  2.0e-4, -1, 0.8 
 6, 7, horn,  2.0e-4, -1, 0.8 
 7, 8, horn,  2.0e-4, -1, 0.8 
 8, 9, horn,  2.0e-4, -1, 0.8 
 1, 10, sinew, 1.0e-4, -1, 0.8 
 10, 11, sinew, 1.0e-4, -1, 0.8 
 11, 12, sinew, 1.0e-4, -1, 0.8
 12, 13, sinew, 1.0e-4, -1, 0.8
 13, 14, sinew, 1.0e-4, -1, 0.8
 14, 15, sinew, 1.0e-4, -1, 0.8
 15, 16, sinew, 1.0e-4, -1, 0.8
 16,  9, sinew, 1.0e-4, -1, 0.8
